Date,Open,High,Low,Close,Volume,Adj Close
1998-01-26,139.88,141.88,138.45,141.75,74277600,13.05
1998-01-23,138.75,139.44,136.70,138.25,63312000,12.72
1998-01-22,135.56,139.88,135.31,138.63,159139200,12.76
1998-01-21,137.25,138.44,135.63,137.00,85567200,12.61
1998-01-20,134.13,138.00,134.00,137.81,64956000,12.68
1998-01-16,132.38,135.38,132.31,135.25,72943200,12.45
1998-01-15,130.38,133.00,129.88,132.31,50622400,12.18
1998-01-14,132.13,132.50,129.25,131.13,54774400,12.07
1998-01-13,129.50,132.25,128.13,132.13,66945600,12.16
1998-01-12,124.62,130.00,124.37,129.50,78393600,11.92
1998-01-09,130.06,131.50,125.87,127.00,87534400,11.69
1998-01-08,128.63,132.13,127.50,130.50,77619200,12.01
1998-01-07,129.88,131.19,127.50,129.56,61492800,11.92
1998-01-06,129.75,133.00,129.25,131.13,67834400,12.07
1998-01-05,131.25,133.63,127.87,130.38,80377600,12.00
1998-01-02,129.63,131.50,129.50,131.13,39748000,12.07
1997-12-31,131.00,131.50,129.00,129.25,46147200,11.90
1997-12-30,126.44,131.00,126.25,130.25,77864800,11.99
1997-12-29,122.37,126.75,122.12,126.31,67815200,11.62
1997-12-26,118.87,120.75,118.75,120.75,32388800,11.11
1997-12-24,123.75,123.87,118.00,118.94,88411200,10.95
1997-12-23,127.06,128.25,123.00,123.31,67195200,11.35
1997-12-22,129.13,130.00,125.87,127.00,59063200,11.69
1997-12-19,128.75,130.19,126.25,128.69,138065600,11.84
1997-12-18,134.50,134.75,130.38,130.88,98774400,12.05
1997-12-17,139.88,140.38,135.50,135.63,51472000,12.48
1997-12-16,135.88,140.38,135.00,139.06,65401600,12.80
1997-12-15,136.44,137.00,133.00,136.13,84305600,12.53
1997-12-12,137.75,138.50,136.00,136.75,54308000,12.59
1997-12-11,140.38,141.00,138.88,139.06,70189600,12.80
1997-12-10,142.25,143.25,141.00,142.25,66434400,13.09
1997-12-09,145.00,145.38,143.50,144.31,51782400,13.28
1997-12-08,143.50,146.63,143.13,146.13,49952800,13.45
1997-12-05,142.13,144.75,142.13,143.13,48136000,13.17
1997-12-04,144.75,145.88,142.25,142.56,62630400,13.12
1997-12-03,141.69,145.06,141.00,144.69,57712000,13.32
1997-12-02,143.56,144.88,142.00,142.25,50167200,13.09
1997-12-01,141.94,144.00,141.63,143.81,49006400,13.24
1997-11-28,141.25,142.25,141.13,141.50,17392800,13.02
1997-11-26,139.00,141.88,138.25,141.56,63053600,13.03
1997-11-25,135.88,139.25,135.75,139.00,56463200,12.79
1997-11-24,137.13,138.13,135.50,135.50,39084000,12.47
1997-11-21,137.81,138.00,136.38,137.88,68220800,12.69
1997-11-20,135.25,137.13,134.88,136.88,53680800,12.60
1997-11-19,133.63,135.13,133.38,135.06,31720800,12.43
1997-11-18,134.94,135.50,133.75,134.00,36683200,12.33
1997-11-17,134.50,135.81,133.44,134.88,60094400,12.41
1997-11-14,131.63,133.88,131.38,133.31,46663200,12.27
1997-11-13,130.06,131.63,129.19,131.56,60094400,12.11
1997-11-12,130.13,131.00,129.00,129.19,45784000,11.89
